Arduino: Pronto para conectar. Aguardando 'START' do PC...
Arduino: Timeout! Nao recebeu 'START'. Reiniciando...
---------- INICIANDO SENSOR ALCOHOL 3 ---------
ValorADC, Tensao [V], Resistencia [kOhm], Etanol [ppm], T [ºC], Humidade [%]
12, 0.01, 1599.17, 0.26, 28.38, 78.15
12, 0.01, 1599.17, 0.26, 28.36, 78.14
12, 0.01, 1599.17, 0.26, 28.37, 78.11
12, 0.01, 1599.17, 0.26, 28.32, 78.17
12, 0.01, 1599.17, 0.26, 28.33, 78.17
12, 0.01, 1599.17, 0.26, 28.35, 78.14
12, 0.01, 1599.17, 0.26, 28.34, 78.10
12, 0.01, 1599.17, 0.26, 28.32, 78.12
12, 0.01, 1599.17, 0.26, 28.32, 78.13
12, 0.01, 1599.17, 0.26, 28.35, 78.10
12, 0.01, 1599.17, 0.26, 28.37, 78.05
12, 0.01, 1599.17, 0.26, 28.35, 78.03
12, 0.01, 1599.17, 0.26, 28.36, 78.00
12, 0.01, 1599.17, 0.26, 28.35, 78.01
12, 0.01, 1599.17, 0.26, 28.38, 78.01
12, 0.01, 1599.17, 0.26, 28.35, 78.00
12, 0.01, 1599.17, 0.26, 28.37, 77.98
12, 0.01, 1599.17, 0.26, 28.32, 78.07
12, 0.01, 1599.17, 0.26, 28.28, 78.14
12, 0.01, 1599.17, 0.26, 28.31, 78.14
12, 0.01, 1599.17, 0.26, 28.33, 78.06
12, 0.01, 1599.17, 0.26, 28.32, 78.05
12, 0.01, 1599.17, 0.26, 28.33, 78.07
12, 0.01, 1599.17, 0.26, 28.34, 78.04
12, 0.01, 1599.17, 0.26, 28.36, 78.00
12, 0.01, 1599.17, 0.26, 28.35, 77.96
12, 0.01, 1599.17, 0.26, 28.28, 78.05
12, 0.01, 1599.17, 0.26, 28.31, 78.06
12, 0.01, 1599.17, 0.26, 28.32, 77.98
12, 0.01, 1599.17, 0.26, 28.27, 78.03
12, 0.01, 1599.17, 0.26, 28.23, 77.98
12, 0.01, 1599.17, 0.26, 28.21, 78.03
12, 0.01, 1599.17, 0.26, 28.24, 77.98
12, 0.01, 1599.17, 0.26, 28.28, 77.86
12, 0.01, 1599.17, 0.26, 28.23, 77.82
12, 0.01, 1599.17, 0.26, 28.24, 77.79
12, 0.01, 1599.17, 0.26, 28.23, 77.73
12, 0.01, 1599.17, 0.26, 28.26, 77.67
12, 0.01, 1599.17, 0.26, 28.23, 77.56
12, 0.01, 1599.17, 0.26, 28.24, 77.60
12, 0.01, 1599.17, 0.26, 28.28, 77.48
12, 0.01, 1599.17, 0.26, 28.33, 77.38
12, 0.01, 1599.17, 0.26, 28.29, 77.30
12, 0.01, 1599.17, 0.26, 28.25, 77.31
12, 0.01, 1599.17, 0.26, 28.26, 77.29
12, 0.01, 1599.17, 0.26, 28.31, 77.20
12, 0.01, 1599.17, 0.26, 28.36, 77.11
12, 0.01, 1599.17, 0.26, 28.34, 77.02
12, 0.01, 1599.17, 0.26, 28.29, 77.01
12, 0.01, 1599.17, 0.26, 28.25, 77.06
12, 0.01, 1599.17, 0.26, 28.27, 77.04
12, 0.01, 1599.17, 0.26, 28.29, 77.00
12, 0.01, 1599.17, 0.26, 28.31, 76.92
12, 0.01, 1599.17, 0.26, 28.35, 76.90
12, 0.01, 1599.17, 0.26, 28.29, 76.90
12, 0.01, 1599.17, 0.26, 28.30, 76.95
12, 0.01, 1599.17, 0.26, 28.30, 76.91
12, 0.01, 1599.17, 0.26, 28.32, 76.84
12, 0.01, 1599.17, 0.26, 28.29, 76.83
12, 0.01, 1599.17, 0.26, 28.27, 76.87
12, 0.01, 1599.17, 0.26, 28.29, 76.90
12, 0.01, 1599.17, 0.26, 28.29, 76.81
12, 0.01, 1599.17, 0.26, 28.30, 76.77
12, 0.01, 1599.17, 0.26, 28.28, 76.76
12, 0.01, 1599.17, 0.26, 28.25, 76.77
12, 0.01, 1599.17, 0.26, 28.28, 76.75
12, 0.01, 1599.17, 0.26, 28.31, 76.71
12, 0.01, 1599.17, 0.26, 28.33, 76.65
12, 0.01, 1599.17, 0.26, 28.36, 76.61
12, 0.01, 1599.17, 0.26, 28.36, 76.55
12, 0.01, 1599.17, 0.26, 28.35, 76.53
12, 0.01, 1599.17, 0.26, 28.35, 76.54
12, 0.01, 1599.17, 0.26, 28.33, 76.51
12, 0.01, 1599.17, 0.26, 28.28, 76.58
12, 0.01, 1599.17, 0.26, 28.31, 76.57
12, 0.01, 1599.17, 0.26, 28.31, 76.52
12, 0.01, 1599.17, 0.26, 28.31, 76.49
12, 0.01, 1599.17, 0.26, 28.33, 76.50
12, 0.01, 1599.17, 0.26, 28.32, 76.44
12, 0.01, 1599.17, 0.26, 28.31, 76.45
12, 0.01, 1599.17, 0.26, 28.26, 76.49
12, 0.01, 1599.17, 0.26, 28.25, 76.52
12, 0.01, 1599.17, 0.26, 28.23, 76.56
12, 0.01, 1599.17, 0.26, 28.24, 76.60
12, 0.01, 1599.17, 0.26, 28.24, 76.54
12, 0.01, 1599.17, 0.26, 28.29, 76.49
12, 0.01, 1599.17, 0.26, 28.25, 76.46
12, 0.01, 1599.17, 0.26, 28.26, 76.45
12, 0.01, 1599.17, 0.26, 28.30, 76.43
12, 0.01, 1599.17, 0.26, 28.31, 76.39
12, 0.01, 1599.17, 0.26, 28.29, 76.29
12, 0.01, 1599.17, 0.26, 28.26, 76.32
12, 0.01, 1599.17, 0.26, 28.21, 76.41
12, 0.01, 1599.17, 0.26, 28.22, 76.41
12, 0.01, 1599.17, 0.26, 28.25, 76.39
12, 0.01, 1599.17, 0.26, 28.25, 76.39
12, 0.01, 1599.17, 0.26, 28.19, 76.39
12, 0.01, 1599.17, 0.26, 28.24, 76.37
12, 0.01, 1599.17, 0.26, 28.23, 76.38
12, 0.01, 1599.17, 0.26, 28.24, 76.32
12, 0.01, 1599.17, 0.26, 28.22, 76.32
12, 0.01, 1599.17, 0.26, 28.23, 76.32
12, 0.01, 1599.17, 0.26, 28.21, 76.29
12, 0.01, 1599.17, 0.26, 28.16, 76.34
12, 0.01, 1599.17, 0.26, 28.16, 76.38
12, 0.01, 1599.17, 0.26, 28.20, 76.35
12, 0.01, 1599.17, 0.26, 28.22, 76.33
12, 0.01, 1599.17, 0.26, 28.22, 76.29
12, 0.01, 1599.17, 0.26, 28.15, 76.29
12, 0.01, 1599.17, 0.26, 28.19, 76.35
12, 0.01, 1599.17, 0.26, 28.15, 76.30
12, 0.01, 1599.17, 0.26, 28.20, 76.26
12, 0.01, 1599.17, 0.26, 28.18, 76.27
12, 0.01, 1599.17, 0.26, 28.16, 76.28
12, 0.01, 1599.17, 0.26, 28.19, 76.25
12, 0.01, 1599.17, 0.26, 28.15, 76.22
12, 0.01, 1599.17, 0.26, 28.14, 76.22
12, 0.01, 1599.17, 0.26, 28.17, 76.23
12, 0.01, 1599.17, 0.26, 28.18, 76.21
12, 0.01, 1599.17, 0.26, 28.17, 76.18
12, 0.01, 1599.17, 0.26, 28.20, 76.14
12, 0.01, 1599.17, 0.26, 28.22, 76.09
12, 0.01, 1599.17, 0.26, 28.18, 76.07
12, 0.01, 1599.17, 0.26, 28.14, 76.10
12, 0.01, 1599.17, 0.26, 28.16, 76.13
12, 0.01, 1599.17, 0.26, 28.22, 76.08
12, 0.01, 1599.17, 0.26, 28.17, 76.05
12, 0.01, 1599.17, 0.26, 28.19, 76.02
12, 0.01, 1599.17, 0.26, 28.21, 75.99
12, 0.01, 1599.17, 0.26, 28.24, 75.91
12, 0.01, 1599.17, 0.26, 28.23, 75.87
12, 0.01, 1599.17, 0.26, 28.26, 75.87
12, 0.01, 1599.17, 0.26, 28.18, 75.92
12, 0.01, 1599.17, 0.26, 28.23, 75.90
12, 0.01, 1599.17, 0.26, 28.24, 75.81
12, 0.01, 1599.17, 0.26, 28.23, 75.79
12, 0.01, 1599.17, 0.26, 28.20, 75.76
12, 0.01, 1599.17, 0.26, 28.18, 75.79
12, 0.01, 1599.17, 0.26, 28.16, 75.86
12, 0.01, 1599.17, 0.26, 28.13, 75.88
12, 0.01, 1599.17, 0.26, 28.17, 75.86
12, 0.01, 1599.17, 0.26, 28.18, 75.80
12, 0.01, 1599.17, 0.26, 28.12, 75.81
12, 0.01, 1599.17, 0.26, 28.12, 75.86
12, 0.01, 1599.17, 0.26, 28.14, 75.79
12, 0.01, 1599.17, 0.26, 28.17, 75.74
12, 0.01, 1599.17, 0.26, 28.14, 75.73
12, 0.01, 1599.17, 0.26, 28.15, 75.73
12, 0.01, 1599.17, 0.26, 28.15, 75.71
12, 0.01, 1599.17, 0.26, 28.14, 75.68
12, 0.01, 1599.17, 0.26, 28.13, 75.70
12, 0.01, 1599.17, 0.26, 28.11, 75.73
12, 0.01, 1599.17, 0.26, 28.12, 75.68
12, 0.01, 1599.17, 0.26, 28.08, 75.63
12, 0.01, 1599.17, 0.26, 28.06, 75.69
12, 0.01, 1599.17, 0.26, 28.11, 75.67
12, 0.01, 1599.17, 0.26, 28.09, 75.65
12, 0.01, 1599.17, 0.26, 28.12, 75.61
12, 0.01, 1599.17, 0.26, 28.11, 75.62
12, 0.01, 1599.17, 0.26, 28.15, 75.59
12, 0.01, 1599.17, 0.26, 28.13, 75.53
12, 0.01, 1599.17, 0.26, 28.10, 75.56
12, 0.01, 1599.17, 0.26, 28.15, 75.56
12, 0.01, 1599.17, 0.26, 28.13, 75.54
12, 0.01, 1599.17, 0.26, 28.14, 75.53
12, 0.01, 1599.17, 0.26, 28.09, 75.58
12, 0.01, 1599.17, 0.26, 28.08, 75.58
12, 0.01, 1599.17, 0.26, 28.10, 75.57
12, 0.01, 1599.17, 0.26, 28.05, 75.58
12, 0.01, 1599.17, 0.26, 28.04, 75.64
12, 0.01, 1599.17, 0.26, 28.00, 75.65
12, 0.01, 1599.17, 0.26, 28.02, 75.67
12, 0.01, 1599.17, 0.26, 28.04, 75.66
12, 0.01, 1599.17, 0.26, 28.06, 75.59
12, 0.01, 1599.17, 0.26, 28.04, 75.60
12, 0.01, 1599.17, 0.26, 28.10, 75.60
12, 0.01, 1599.17, 0.26, 28.11, 75.54
12, 0.01, 1599.17, 0.26, 28.07, 75.51
12, 0.01, 1599.17, 0.26, 28.06, 75.57
12, 0.01, 1599.17, 0.26, 28.06, 75.57
12, 0.01, 1599.17, 0.26, 28.09, 75.50
12, 0.01, 1599.17, 0.26, 28.08, 75.51
12, 0.01, 1599.17, 0.26, 28.10, 75.45
12, 0.01, 1599.17, 0.26, 28.10, 75.42
12, 0.01, 1599.17, 0.26, 28.07, 75.48
12, 0.01, 1599.17, 0.26, 28.04, 75.51
12, 0.01, 1599.17, 0.26, 28.06, 75.52
12, 0.01, 1599.17, 0.26, 28.01, 75.54
12, 0.01, 1599.17, 0.26, 28.04, 75.58
12, 0.01, 1599.17, 0.26, 27.99, 75.56
12, 0.01, 1599.17, 0.26, 28.01, 75.58
12, 0.01, 1599.17, 0.26, 28.00, 75.61
12, 0.01, 1599.17, 0.26, 27.98, 75.62
12, 0.01, 1599.17, 0.26, 28.00, 75.57
12, 0.01, 1599.17, 0.26, 27.97, 75.56
12, 0.01, 1599.17, 0.26, 27.99, 75.56
12, 0.01, 1599.17, 0.26, 27.97, 75.58
12, 0.01, 1599.17, 0.26, 27.96, 75.58
12, 0.01, 1599.17, 0.26, 27.98, 75.57
12, 0.01, 1599.17, 0.26, 28.01, 75.58
12, 0.01, 1599.17, 0.26, 27.97, 75.52
12, 0.01, 1599.17, 0.26, 27.96, 75.55
12, 0.01, 1599.17, 0.26, 28.00, 75.54
12, 0.01, 1599.17, 0.26, 28.00, 75.51
12, 0.01, 1599.17, 0.26, 27.99, 75.46
12, 0.01, 1599.17, 0.26, 27.99, 75.44
12, 0.01, 1599.17, 0.26, 27.97, 75.48
12, 0.01, 1599.17, 0.26, 27.93, 75.46
12, 0.01, 1599.17, 0.26, 27.92, 75.56
12, 0.01, 1599.17, 0.26, 27.93, 75.53
12, 0.01, 1599.17, 0.26, 27.93, 75.54
12, 0.01, 1599.17, 0.26, 27.91, 75.57
12, 0.01, 1599.17, 0.26, 27.94, 75.52
12, 0.01, 1599.17, 0.26, 27.93, 75.53
12, 0.01, 1599.17, 0.26, 27.91, 75.54
12, 0.01, 1599.17, 0.26, 27.96, 75.51
12, 0.01, 1599.17, 0.26, 27.96, 75.45
12, 0.01, 1599.17, 0.26, 27.92, 75.48
12, 0.01, 1599.17, 0.26, 27.93, 75.47
12, 0.01, 1599.17, 0.26, 27.91, 75.54
12, 0.01, 1599.17, 0.26, 27.87, 75.60
12, 0.01, 1599.17, 0.26, 27.94, 75.52
12, 0.01, 1599.17, 0.26, 27.97, 75.45
12, 0.01, 1599.17, 0.26, 27.87, 75.44
12, 0.01, 1599.17, 0.26, 27.90, 75.47
12, 0.01, 1599.17, 0.26, 27.87, 75.49
12, 0.01, 1599.17, 0.26, 27.87, 75.53
12, 0.01, 1599.17, 0.26, 27.88, 75.52
12, 0.01, 1599.17, 0.26, 27.90, 75.48
12, 0.01, 1599.17, 0.26, 27.88, 75.45
12, 0.01, 1599.17, 0.26, 27.86, 75.46
12, 0.01, 1599.17, 0.26, 27.85, 75.48
12, 0.01, 1599.17, 0.26, 27.84, 75.49
12, 0.01, 1599.17, 0.26, 27.84, 75.48
12, 0.01, 1599.17, 0.26, 27.80, 75.50
12, 0.01, 1599.17, 0.26, 27.83, 75.53
12, 0.01, 1599.17, 0.26, 27.80, 75.51
12, 0.01, 1599.17, 0.26, 27.81, 75.49
12, 0.01, 1599.17, 0.26, 27.82, 75.50
12, 0.01, 1599.17, 0.26, 27.85, 75.49
12, 0.01, 1599.17, 0.26, 27.77, 75.44
12, 0.01, 1599.17, 0.26, 27.81, 75.47
12, 0.01, 1599.17, 0.26, 27.78, 75.43
12, 0.01, 1599.17, 0.26, 27.81, 75.41
12, 0.01, 1599.17, 0.26, 27.78, 75.37
12, 0.01, 1599.17, 0.26, 27.79, 75.43
12, 0.01, 1599.17, 0.26, 27.77, 75.43
12, 0.01, 1599.17, 0.26, 27.77, 75.46
12, 0.01, 1599.17, 0.26, 27.74, 75.44
12, 0.01, 1599.17, 0.26, 27.74, 75.45
12, 0.01, 1599.17, 0.26, 27.74, 75.46
12, 0.01, 1599.17, 0.26, 27.73, 75.44
12, 0.01, 1599.17, 0.26, 27.80, 75.43
12, 0.01, 1599.17, 0.26, 27.85, 75.39
12, 0.01, 1599.17, 0.26, 27.86, 75.31
12, 0.01, 1599.17, 0.26, 27.86, 75.31
12, 0.01, 1599.17, 0.26, 27.88, 75.28
12, 0.01, 1599.17, 0.26, 27.92, 75.26
12, 0.01, 1599.17, 0.26, 27.93, 75.20
12, 0.01, 1599.17, 0.26, 27.96, 75.20
12, 0.01, 1599.17, 0.26, 27.97, 75.18
12, 0.01, 1599.17, 0.26, 28.00, 75.16
12, 0.01, 1599.17, 0.26, 27.99, 75.15
12, 0.01, 1599.17, 0.26, 28.04, 75.17
12, 0.01, 1599.17, 0.26, 28.03, 75.17
12, 0.01, 1599.17, 0.26, 28.04, 75.16
12, 0.01, 1599.17, 0.26, 28.05, 75.14
12, 0.01, 1599.17, 0.26, 28.08, 75.17
12, 0.01, 1599.17, 0.26, 28.08, 75.12
12, 0.01, 1599.17, 0.26, 28.09, 75.15
12, 0.01, 1599.17, 0.26, 28.09, 75.20
12, 0.01, 1599.17, 0.26, 28.11, 75.24
12, 0.01, 1599.17, 0.26, 28.12, 75.23
12, 0.01, 1599.17, 0.26, 28.13, 75.25
12, 0.01, 1599.17, 0.26, 28.12, 75.23
12, 0.01, 1599.17, 0.26, 28.13, 75.30
12, 0.01, 1599.17, 0.26, 28.13, 75.28
12, 0.01, 1599.17, 0.26, 28.15, 75.25
12, 0.01, 1599.17, 0.26, 28.15, 75.32
12, 0.01, 1599.17, 0.26, 28.17, 75.30
12, 0.01, 1599.17, 0.26, 28.17, 75.29
12, 0.01, 1599.17, 0.26, 28.19, 75.27
12, 0.01, 1599.17, 0.26, 28.20, 75.27
12, 0.01, 1599.17, 0.26, 28.21, 75.33
12, 0.01, 1599.17, 0.26, 28.21, 75.28
12, 0.01, 1599.17, 0.26, 28.22, 75.28
12, 0.01, 1599.17, 0.26, 28.23, 75.27
12, 0.01, 1599.17, 0.26, 28.23, 75.31
12, 0.01, 1599.17, 0.26, 28.22, 75.31
12, 0.01, 1599.17, 0.26, 28.24, 75.35
12, 0.01, 1599.17, 0.26, 28.23, 75.34
12, 0.01, 1599.17, 0.26, 28.23, 75.31
12, 0.01, 1599.17, 0.26, 28.26, 75.34
12, 0.01, 1599.17, 0.26, 28.25, 75.40
12, 0.01, 1599.17, 0.26, 28.27, 75.40
12, 0.01, 1599.17, 0.26, 28.27, 75.36
12, 0.01, 1599.17, 0.26, 28.27, 75.38
12, 0.01, 1599.17, 0.26, 28.28, 75.40
12, 0.01, 1599.17, 0.26, 28.27, 75.43
12, 0.01, 1599.17, 0.26, 28.28, 75.41
12, 0.01, 1599.17, 0.26, 28.28, 75.41
12, 0.01, 1599.17, 0.26, 28.28, 75.46
12, 0.01, 1599.17, 0.26, 28.29, 75.41
12, 0.01, 1599.17, 0.26, 28.29, 75.44
12, 0.01, 1599.17, 0.26, 28.30, 75.48
12, 0.01, 1599.17, 0.26, 28.30, 75.47
12, 0.01, 1599.17, 0.26, 28.30, 75.51
12, 0.01, 1599.17, 0.26, 28.30, 75.58
12, 0.01, 1599.17, 0.26, 28.31, 75.50
12, 0.01, 1599.17, 0.26, 28.31, 75.54
12, 0.01, 1599.17, 0.26, 28.32, 75.50
12, 0.01, 1599.17, 0.26, 28.31, 75.56
12, 0.01, 1599.17, 0.26, 28.33, 75.56
12, 0.01, 1599.17, 0.26, 28.32, 75.58
12, 0.01, 1599.17, 0.26, 28.31, 75.60
12, 0.01, 1599.17, 0.26, 28.32, 75.60
12, 0.01, 1599.17, 0.26, 28.33, 75.63
12, 0.01, 1599.17, 0.26, 28.34, 75.66
12, 0.01, 1599.17, 0.26, 28.34, 75.69
12, 0.01, 1599.17, 0.26, 28.33, 75.65
12, 0.01, 1599.17, 0.26, 28.33, 75.67
12, 0.01, 1599.17, 0.26, 28.32, 75.67
12, 0.01, 1599.17, 0.26, 28.33, 75.67
12, 0.01, 1599.17, 0.26, 28.34, 75.68
12, 0.01, 1599.17, 0.26, 28.32, 75.74
12, 0.01, 1599.17, 0.26, 28.33, 75.78
12, 0.01, 1599.17, 0.26, 28.34, 75.74
12, 0.01, 1599.17, 0.26, 28.35, 75.73
12, 0.01, 1599.17, 0.26, 28.34, 75.77
12, 0.01, 1599.17, 0.26, 28.34, 75.81
12, 0.01, 1599.17, 0.26, 28.34, 75.82
12, 0.01, 1599.17, 0.26, 28.33, 75.86
12, 0.01, 1599.17, 0.26, 28.34, 75.82
12, 0.01, 1599.17, 0.26, 28.34, 75.86
12, 0.01, 1599.17, 0.26, 28.33, 75.92
12, 0.01, 1599.17, 0.26, 28.33, 75.93
12, 0.01, 1599.17, 0.26, 28.33, 75.95
12, 0.01, 1599.17, 0.26, 28.35, 75.94
12, 0.01, 1599.17, 0.26, 28.34, 75.94
12, 0.01, 1599.17, 0.26, 28.33, 75.95
12, 0.01, 1599.17, 0.26, 28.33, 75.97
12, 0.01, 1599.17, 0.26, 28.32, 76.01
12, 0.01, 1599.17, 0.26, 28.33, 76.03
12, 0.01, 1599.17, 0.26, 28.34, 75.98
12, 0.01, 1599.17, 0.26, 28.34, 76.04
12, 0.01, 1599.17, 0.26, 28.34, 76.07
12, 0.01, 1599.17, 0.26, 28.35, 76.11
12, 0.01, 1599.17, 0.26, 28.35, 76.06
12, 0.01, 1599.17, 0.26, 28.34, 76.09
12, 0.01, 1599.17, 0.26, 28.36, 76.08
12, 0.01, 1599.17, 0.26, 28.35, 76.07
12, 0.01, 1599.17, 0.26, 28.35, 76.09
12, 0.01, 1599.17, 0.26, 28.35, 76.12
12, 0.01, 1599.17, 0.26, 28.35, 76.11
12, 0.01, 1599.17, 0.26, 28.36, 76.13
12, 0.01, 1599.17, 0.26, 28.35, 76.16
12, 0.01, 1599.17, 0.26, 28.35, 76.19
12, 0.01, 1599.17, 0.26, 28.35, 76.22
12, 0.01, 1599.17, 0.26, 28.35, 76.20
12, 0.01, 1599.17, 0.26, 28.35, 76.20
12, 0.01, 1599.17, 0.26, 28.36, 76.24
12, 0.01, 1599.17, 0.26, 28.35, 76.24
12, 0.01, 1599.17, 0.26, 28.35, 76.21
12, 0.01, 1599.17, 0.26, 28.34, 76.26
12, 0.01, 1599.17, 0.26, 28.34, 76.24
12, 0.01, 1599.17, 0.26, 28.34, 76.26
12, 0.01, 1599.17, 0.26, 28.34, 76.28
12, 0.01, 1599.17, 0.26, 28.33, 76.34
12, 0.01, 1599.17, 0.26, 28.33, 76.34
12, 0.01, 1599.17, 0.26, 28.34, 76.37
12, 0.01, 1599.17, 0.26, 28.35, 76.35
12, 0.01, 1599.17, 0.26, 28.34, 76.39
12, 0.01, 1599.17, 0.26, 28.36, 76.37
12, 0.01, 1599.17, 0.26, 28.34, 76.39
12, 0.01, 1599.17, 0.26, 28.36, 76.39
12, 0.01, 1599.17, 0.26, 28.34, 76.42
12, 0.01, 1599.17, 0.26, 28.34, 76.42
12, 0.01, 1599.17, 0.26, 28.35, 76.45
12, 0.01, 1599.17, 0.26, 28.34, 76.47
12, 0.01, 1599.17, 0.26, 28.34, 76.47
12, 0.01, 1599.17, 0.26, 28.34, 76.50
12, 0.01, 1599.17, 0.26, 28.34, 76.52
12, 0.01, 1599.17, 0.26, 28.36, 76.48
12, 0.01, 1599.17, 0.26, 28.35, 76.49
12, 0.01, 1599.17, 0.26, 28.35, 76.54
12, 0.01, 1599.17, 0.26, 28.33, 76.58
12, 0.01, 1599.17, 0.26, 28.35, 76.61
12, 0.01, 1599.17, 0.26, 28.35, 76.57
12, 0.01, 1599.17, 0.26, 28.33, 76.58
12, 0.01, 1599.17, 0.26, 28.33, 76.62
12, 0.01, 1599.17, 0.26, 28.33, 76.60
12, 0.01, 1599.17, 0.26, 28.33, 76.64
12, 0.01, 1599.17, 0.26, 28.35, 76.63
12, 0.01, 1599.17, 0.26, 28.35, 76.66
12, 0.01, 1599.17, 0.26, 28.34, 76.63
12, 0.01, 1599.17, 0.26, 28.34, 76.68
12, 0.01, 1599.17, 0.26, 28.34, 76.68
12, 0.01, 1599.17, 0.26, 28.35, 76.70
12, 0.01, 1599.17, 0.26, 28.34, 76.70
12, 0.01, 1599.17, 0.26, 28.35, 76.70
12, 0.01, 1599.17, 0.26, 28.34, 76.72
12, 0.01, 1599.17, 0.26, 28.34, 76.75
12, 0.01, 1599.17, 0.26, 28.34, 76.77
12, 0.01, 1599.17, 0.26, 28.32, 76.79
12, 0.01, 1599.17, 0.26, 28.33, 76.79
12, 0.01, 1599.17, 0.26, 28.32, 76.84
12, 0.01, 1599.17, 0.26, 28.33, 76.85
12, 0.01, 1599.17, 0.26, 28.34, 76.81
12, 0.01, 1599.17, 0.26, 28.34, 76.86
12, 0.01, 1599.17, 0.26, 28.33, 76.86
12, 0.01, 1599.17, 0.26, 28.31, 76.90
12, 0.01, 1599.17, 0.26, 28.33, 76.92
12, 0.01, 1599.17, 0.26, 28.32, 76.95
12, 0.01, 1599.17, 0.26, 28.33, 76.92
12, 0.01, 1599.17, 0.26, 28.33, 76.93
12, 0.01, 1599.17, 0.26, 28.34, 76.93
12, 0.01, 1599.17, 0.26, 28.36, 76.93
12, 0.01, 1599.17, 0.26, 28.35, 76.94
12, 0.01, 1599.17, 0.26, 28.34, 76.91
12, 0.01, 1599.17, 0.26, 28.34, 76.92
12, 0.01, 1599.17, 0.26, 28.35, 76.95
12, 0.01, 1599.17, 0.26, 28.36, 76.96
12, 0.01, 1599.17, 0.26, 28.34, 76.98
12, 0.01, 1599.17, 0.26, 28.34, 76.98
12, 0.01, 1599.17, 0.26, 28.34, 76.99
12, 0.01, 1599.17, 0.26, 28.33, 77.00
12, 0.01, 1599.17, 0.26, 28.33, 77.06
12, 0.01, 1599.17, 0.26, 28.33, 77.07
12, 0.01, 1599.17, 0.26, 28.34, 77.09
12, 0.01, 1599.17, 0.26, 28.36, 77.02
12, 0.01, 1599.17, 0.26, 28.34, 77.04
12, 0.01, 1599.17, 0.26, 28.33, 77.09
12, 0.01, 1599.17, 0.26, 28.32, 77.13
12, 0.01, 1599.17, 0.26, 28.33, 77.11
12, 0.01, 1599.17, 0.26, 28.32, 77.13
12, 0.01, 1599.17, 0.26, 28.32, 77.17
12, 0.01, 1599.17, 0.26, 28.30, 77.19
12, 0.01, 1599.17, 0.26, 28.30, 77.21
12, 0.01, 1599.17, 0.26, 28.32, 77.22
12, 0.01, 1599.17, 0.26, 28.31, 77.21
12, 0.01, 1599.17, 0.26, 28.29, 77.24
12, 0.01, 1599.17, 0.26, 28.29, 77.27
12, 0.01, 1599.17, 0.26, 28.30, 77.27
12, 0.01, 1599.17, 0.26, 28.31, 77.27
12, 0.01, 1599.17, 0.26, 28.30, 77.29
12, 0.01, 1599.17, 0.26, 28.30, 77.28
12, 0.01, 1599.17, 0.26, 28.30, 77.29
12, 0.01, 1599.17, 0.26, 28.31, 77.32
12, 0.01, 1599.17, 0.26, 28.30, 77.31
12, 0.01, 1599.17, 0.26, 28.30, 77.33
12, 0.01, 1599.17, 0.26, 28.32, 77.32
12, 0.01, 1599.17, 0.26, 28.30, 77.34
12, 0.01, 1599.17, 0.26, 28.30, 77.36
12, 0.01, 1599.17, 0.26, 28.28, 77.35
12, 0.01, 1599.17, 0.26, 28.30, 77.36
12, 0.01, 1599.17, 0.26, 28.29, 77.41
12, 0.01, 1599.17, 0.26, 28.30, 77.41
12, 0.01, 1599.17, 0.26, 28.28, 77.42
12, 0.01, 1599.17, 0.26, 28.26, 77.45
12, 0.01, 1599.17, 0.26, 28.29, 77.49
12, 0.01, 1599.17, 0.26, 28.29, 77.50
12, 0.01, 1599.17, 0.26, 28.28, 77.51
12, 0.01, 1599.17, 0.26, 28.27, 77.51
12, 0.01, 1599.17, 0.26, 28.29, 77.52
12, 0.01, 1599.17, 0.26, 28.29, 77.53
12, 0.01, 1599.17, 0.26, 28.27, 77.54
12, 0.01, 1599.17, 0.26, 28.27, 77.55
12, 0.01, 1599.17, 0.26, 28.28, 77.53
12, 0.01, 1599.17, 0.26, 28.25, 77.57
12, 0.01, 1599.17, 0.26, 28.27, 77.61
12, 0.01, 1599.17, 0.26, 28.25, 77.61
12, 0.01, 1599.17, 0.26, 28.26, 77.63
12, 0.01, 1599.17, 0.26, 28.25, 77.66
12, 0.01, 1599.17, 0.26, 28.26, 77.66
12, 0.01, 1599.17, 0.26, 28.27, 77.64
12, 0.01, 1599.17, 0.26, 28.27, 77.67
12, 0.01, 1599.17, 0.26, 28.29, 77.65
12, 0.01, 1599.17, 0.26, 28.31, 77.61
12, 0.01, 1599.17, 0.26, 28.30, 77.58
12, 0.01, 1599.17, 0.26, 28.28, 77.64
12, 0.01, 1599.17, 0.26, 28.28, 77.63
12, 0.01, 1599.17, 0.26, 28.27, 77.69
12, 0.01, 1599.17, 0.26, 28.27, 77.69
12, 0.01, 1599.17, 0.26, 28.26, 77.71
12, 0.01, 1599.17, 0.26, 28.29, 77.70
12, 0.01, 1599.17, 0.26, 28.26, 77.74
12, 0.01, 1599.17, 0.26, 28.27, 77.70
12, 0.01, 1599.17, 0.26, 28.27, 77.75
12, 0.01, 1599.17, 0.26, 28.25, 77.76
12, 0.01, 1599.17, 0.26, 28.24, 77.82
12, 0.01, 1599.17, 0.26, 28.23, 77.84
12, 0.01, 1599.17, 0.26, 28.26, 77.84
12, 0.01, 1599.17, 0.26, 28.28, 77.81
12, 0.01, 1599.17, 0.26, 28.27, 77.82
12, 0.01, 1599.17, 0.26, 28.25, 77.84
